episode,reward,steps,success
1,-257.89999999999907,500,0
2,-252.49999999999895,500,0
3,-241.69999999999868,500,0
4,-233.59999999999877,500,0
5,-238.99999999999898,500,0
6,-212.89999999999873,500,0
7,-238.99999999999898,500,0
8,-246.19999999999914,500,0
9,-227.29999999999885,500,0
10,-195.79999999999887,500,0
11,-206.59999999999883,500,0
12,-217.39999999999907,500,0
13,-309.20000000000005,500,0
14,-252.4999999999992,500,0
15,-176.6999999999992,401,1
16,-200.29999999999887,500,0
17,-256.99999999999875,500,0
18,-220.09999999999897,500,0
19,-199.39999999999887,500,0
20,-220.0999999999991,500,0
21,-224.59999999999891,500,0
22,-297.50000000000057,500,0
23,-211.99999999999872,500,0
24,-217.39999999999895,500,0
25,-220.99999999999892,484,1
26,-223.69999999999897,500,0
27,-224.59999999999897,500,0
28,-83.89999999999995,229,1
29,-255.19999999999902,500,0
30,-232.69999999999882,500,0
31,-239.89999999999893,500,0
32,-191.29999999999873,500,0
33,-155.8999999999994,382,1
34,-249.79999999999885,500,0
35,-217.39999999999893,500,0
36,-207.49999999999855,500,0
37,-219.19999999999874,500,0
38,-202.09999999999891,500,0
39,-232.79999999999927,476,1
40,-208.39999999999873,500,0
41,-120.79999999999959,301,1
42,-241.69999999999885,500,0
43,-79.29999999999995,183,1
44,-223.6999999999989,500,0
45,-241.6999999999988,500,0
46,-229.9999999999988,500,0
47,-245.29999999999905,500,0
48,-200.29999999999868,500,0
49,-224.59999999999877,500,0
50,-217.39999999999884,500,0
51,-217.39999999999876,500,0
52,-221.89999999999898,500,0
53,-172.99999999999935,382,1
54,-230.89999999999904,500,0
55,-229.99999999999878,500,0
56,-197.59999999999891,500,0
57,-207.49999999999872,500,0
58,-237.19999999999885,500,0
59,-132.4999999999995,346,1
60,-225.49999999999875,500,0
61,-208.39999999999876,500,0
62,-207.49999999999895,500,0
63,-214.69999999999874,500,0
64,-194.89999999999904,500,0
65,-189.49999999999866,500,0
66,-219.1999999999989,500,0
67,-229.0999999999989,500,0
68,-197.59999999999886,500,0
69,-208.39999999999867,500,0
70,-170.59999999999872,500,0
71,-180.4999999999987,500,0
72,-194.89999999999876,500,0
73,-194.89999999999887,500,0
74,-184.09999999999866,500,0
75,-191.29999999999865,500,0
76,-208.39999999999878,500,0
77,-202.0999999999987,500,0
78,-220.99999999999886,500,0
79,-220.09999999999886,500,0
80,-195.7999999999989,500,0
81,-157.99999999999875,500,0
82,-163.3999999999989,500,0
83,-194.89999999999887,500,0
84,-206.59999999999874,500,0
85,-195.7999999999991,500,0
86,-173.29999999999896,500,0
87,-195.79999999999868,500,0
88,-168.79999999999882,500,0
89,-169.6999999999989,500,0
90,-184.099999999999,500,0
91,-199.39999999999876,500,0
92,-176.89999999999887,500,0
93,-208.39999999999895,500,0
94,-202.99999999999878,500,0
95,-213.79999999999896,500,0
96,-213.799999999999,500,0
97,-256.99999999999943,500,0
98,-187.6999999999987,500,0
99,-212.89999999999904,500,0
100,-184.99999999999878,500,0
101,-201.19999999999868,500,0
102,-218.2999999999989,500,0
103,-169.19999999999928,443,1
104,-199.39999999999864,500,0
105,-172.7999999999987,488,1
106,-222.79999999999876,500,0
107,-176.89999999999884,500,0
108,-218.29999999999876,500,0
109,-183.19999999999885,500,0
110,-192.1999999999987,500,0
111,-184.9999999999987,500,0
112,-157.09999999999886,500,0
113,-179.59999999999872,500,0
114,-216.4999999999989,500,0
115,-199.39999999999873,500,0
116,-170.59999999999886,500,0
117,-198.4999999999989,500,0
118,-185.89999999999893,500,0
119,-166.99999999999903,500,0
120,-174.19999999999848,500,0
