episode,reward,steps,success,epsilon
1,-141.19999999999933,500,0,0.995
2,-111.59999999999945,500,0,0.990025
3,-129.99999999999943,500,0,0.985074875
4,-121.19999999999928,500,0,0.9801495006250001
5,-124.79999999999922,500,0,0.9752487531218751
6,-116.39999999999931,500,0,0.9703725093562657
7,-141.59999999999968,500,0,0.9655206468094844
8,-150.39999999999964,500,0,0.960693043575437
9,-46.800000000000146,225,1,0.9558895783575597
10,-154.79999999999964,500,0,0.9511101304657719
11,-114.79999999999956,500,0,0.946354579813443
12,-99.69999999999945,394,1,0.9416228069143757
13,-121.99999999999943,500,0,0.9369146928798039
14,-106.79999999999939,500,0,0.9322301194154049
15,-122.39999999999918,500,0,0.9275689688183278
16,-116.39999999999937,500,0,0.9229311239742362
17,-121.9999999999994,500,0,0.918316468354365
18,-117.19999999999933,500,0,0.9137248860125932
19,-116.39999999999937,500,0,0.9091562615825302
20,-116.39999999999938,500,0,0.9046104802746175
21,-127.99999999999915,500,0,0.9000874278732445
22,-113.9999999999995,500,0,0.8955869907338783
23,-113.19999999999939,500,0,0.8911090557802088
24,-77.29999999999974,366,1,0.8866535105013078
25,-113.59999999999937,500,0,0.8822202429488013
26,-111.19999999999936,500,0,0.8778091417340573
27,-45.500000000000114,220,1,0.8734200960253871
28,-144.39999999999975,500,0,0.8690529955452602
29,-136.7999999999991,500,0,0.8647077305675338
30,-98.39999999999971,409,1,0.8603841919146962
31,-145.19999999999925,500,0,0.8560822709551227
32,-139.99999999999935,500,0,0.851801859600347
33,-61.800000000000125,291,1,0.8475428503023453
34,-126.39999999999947,500,0,0.8433051360508336
35,-90.49999999999972,370,1,0.8390886103705794
36,-70.09999999999985,362,1,0.8348931673187264
37,-116.79999999999939,500,0,0.8307187014821328
38,-118.79999999999927,500,0,0.8265651079747222
39,-38.90000000000012,210,1,0.8224322824348486
40,-37.90000000000008,168,1,0.8183201210226743
41,-110.89999999999952,370,1,0.8142285204175609
42,-114.39999999999952,500,0,0.810157377815473
43,-107.19999999999929,500,0,0.8061065909263957
44,-107.99999999999939,500,0,0.8020760579717637
45,-96.79999999999944,500,0,0.798065677681905
46,-124.39999999999934,500,0,0.7940753492934954
47,-102.7999999999994,500,0,0.7901049725470279
48,-95.59999999999945,500,0,0.7861544476842928
49,-82.7999999999997,500,0,0.7822236754458713
50,-105.19999999999925,500,0,0.778312557068642
51,-115.1999999999991,500,0,0.7744209942832988
52,-88.3999999999994,500,0,0.7705488893118823
53,-93.19999999999966,500,0,0.7666961448653229
54,-105.99999999999943,500,0,0.7628626641409962
55,-86.7999999999995,500,0,0.7590483508202912
56,-94.79999999999941,500,0,0.7552531090661897
57,-99.59999999999938,500,0,0.7514768435208588
58,-90.79999999999949,500,0,0.7477194593032545
59,-98.79999999999939,500,0,0.7439808620067382
60,-109.19999999999928,500,0,0.7402609576967045
61,-88.79999999999953,500,0,0.736559652908221
62,-27.1000000000001,192,1,0.7328768546436799
63,-87.99999999999991,500,0,0.7292124703704616
64,-97.99999999999942,500,0,0.7255664080186093
65,-86.79999999999959,500,0,0.7219385759785162
66,-111.1999999999994,500,0,0.7183288830986236
67,-96.3999999999995,500,0,0.7147372386831305
68,-89.1999999999996,500,0,0.7111635524897149
69,-85.99999999999972,500,0,0.7076077347272662
70,-99.1999999999996,500,0,0.7040696960536299
71,-89.59999999999957,500,0,0.7005493475733617
72,-84.3999999999998,500,0,0.697046600835495
73,-87.59999999999954,500,0,0.6935613678313175
74,-84.79999999999971,500,0,0.6900935609921609
75,-90.79999999999974,500,0,0.6866430931872001
76,-96.39999999999966,500,0,0.6832098777212641
77,-82.39999999999975,500,0,0.6797938283326578
78,-89.19999999999978,500,0,0.6763948591909945
79,-93.99999999999949,500,0,0.6730128848950395
80,-89.5999999999996,500,0,0.6696478204705644
81,-87.19999999999982,500,0,0.6662995813682115
82,-93.59999999999957,500,0,0.6629680834613705
83,-85.99999999999967,500,0,0.6596532430440636
84,-88.39999999999962,500,0,0.6563549768288433
85,-85.19999999999969,500,0,0.653073201944699
86,-83.1999999999997,500,0,0.6498078359349755
87,-87.19999999999963,500,0,0.6465587967553006
88,-83.99999999999972,500,0,0.6433260027715241
89,-90.39999999999947,500,0,0.6401093727576664
90,-79.19999999999987,500,0,0.6369088258938781
91,-85.99999999999989,500,0,0.6337242817644086
92,-82.39999999999986,500,0,0.6305556603555866
93,-93.99999999999946,500,0,0.6274028820538087
94,-90.79999999999961,500,0,0.6242658676435396
95,-91.99999999999953,500,0,0.6211445383053219
96,-88.79999999999966,500,0,0.6180388156137953
97,-88.39999999999975,500,0,0.6149486215357263
98,-85.5999999999997,500,0,0.6118738784280476
99,-95.99999999999953,500,0,0.6088145090359074
100,-82.39999999999978,500,0,0.6057704364907278
101,-95.99999999999956,500,0,0.6027415843082742
102,-92.3999999999997,500,0,0.5997278763867329
103,-95.99999999999937,500,0,0.5967292370047992
104,-85.99999999999963,500,0,0.5937455908197752
105,-88.39999999999964,500,0,0.5907768628656763
106,-93.1999999999996,500,0,0.5878229785513479
107,-90.39999999999966,500,0,0.5848838636585911
108,-84.39999999999966,500,0,0.5819594443402982
109,-85.59999999999964,500,0,0.5790496471185967
110,-91.9999999999996,500,0,0.5761543988830038
111,-89.59999999999954,500,0,0.5732736268885887
112,-89.59999999999965,500,0,0.5704072587541458
113,-93.99999999999956,500,0,0.567555222460375
114,-86.3999999999996,500,0,0.5647174463480732
115,-90.79999999999968,500,0,0.5618938591163328
116,-88.39999999999957,500,0,0.5590843898207511
117,-84.7999999999997,500,0,0.5562889678716474
118,-86.79999999999968,500,0,0.5535075230322891
119,-82.39999999999975,500,0,0.5507399854171277
120,-82.39999999999961,500,0,0.547986285490042
121,-88.3999999999998,500,0,0.5452463540625918
122,-88.39999999999966,500,0,0.5425201222922789
123,-82.79999999999973,500,0,0.5398075216808175
124,-91.59999999999948,500,0,0.5371084840724134
125,-78.39999999999985,500,0,0.5344229416520513
126,-92.39999999999952,500,0,0.531750826943791
127,-80.39999999999984,500,0,0.5290920728090721
128,-88.39999999999957,500,0,0.5264466124450268
129,-83.99999999999963,500,0,0.5238143793828016
130,-86.39999999999966,500,0,0.5211953074858876
131,-81.59999999999988,500,0,0.5185893309484582
132,-78.79999999999983,500,0,0.5159963842937159
133,-82.3999999999999,500,0,0.5134164023722473
